Title,Author,Length
Playing for Keeps,Kendall Ryan,6 hrs and 32 mins
Kill Switch,Penelope Douglas,17 hrs and 35 mins
Kill Switch,Penelope Douglas,17 hrs and 35 mins
Sugar Daddies,Jade West,12 hrs and 57 mins
Icebreaker,Hannah Grace,13 hrs and 23 mins
Sandpiper Cove,Irene Hannon,9 hrs and 47 mins
Think Outside the Boss,Olivia Hayle,7 hrs and 33 mins
Any Day Now,Robyn Carr,9 hrs and 32 mins
Le voyage,Diana Gabaldon,35 hrs and 38 mins
Someone to Love,Mary Balogh,11 hrs and 31 mins
Too Much Information,Missy Johnson,7 hrs and 22 mins
Tempt Me,K. A. Tucker,7 hrs and 57 mins
The Things We Leave Unfinished,Rebecca Yarros,14 hrs and 32 mins
Christmas at the Cupcake Café,Jenny Colgan,8 hrs and 18 mins
The Silent Governess,Julie Klassen,15 hrs and 19 mins
The Hot Zone (The Complete Series),Carly Phillips,33 hrs and 43 mins
Dark Prince,Michelle Hercules,7 hrs and 59 mins
The Wild Rose,Jennifer Donnelly,24 hrs and 33 mins
Just One Fling,Carly Phillips,6 hrs and 34 mins
Brille tant que tu vis,Alice Quinn,5 hrs and 37 mins
A Breath of Snow and Ashes,Diana Gabaldon,57 hrs and 48 mins
Written in My Own Heart's Blood,Diana Gabaldon,45 hrs
Black Hills,Nora Roberts,16 hrs and 51 mins
Black Hills,Nora Roberts,16 hrs and 51 mins
Searching for Heather,Susan Stoker,10 hrs and 47 mins
A Court of Thorns and Roses,Sarah J. Maas,16 hrs and 7 mins
Forbidden Shifters Complete Series (Books 1-6),Selena Scott,54 hrs and 5 mins
Candy Boys,Jo Raven,10 hrs and 59 mins
Slightly Dangerous,Mary Balogh,11 hrs and 54 mins
Tempted by Her Wolves,Tara West,7 hrs and 45 mins
Home Game,Odette Stone,11 hrs
Bigger Rock,Lauren Blakely,26 hrs and 47 mins
Whisked Away,Melanie Summers,9 hrs and 12 mins
Running Scared,Lisa Jackson,18 hrs and 21 mins
The Tutor's Daughter,Julie Klassen,16 hrs and 34 mins
The Winter Rose,Jennifer Donnelly,34 hrs and 52 mins
Swallow Me Whole,Gemma James,8 hrs and 26 mins
The Witness,Nora Roberts,16 hrs and 19 mins
Slightly Sinful,Mary Balogh,11 hrs and 24 mins
Fire and Ash,Sara Cate,2 hrs and 52 mins
God of Fury,Rina Kent,15 hrs and 59 mins
Go Tell the Bees That I Am Gone,Diana Gabaldon,49 hrs and 27 mins
Kulti,Mariana Zapata,16 hrs and 8 mins
The Search,Nora Roberts,14 hrs and 54 mins
The Search,Nora Roberts,14 hrs and 54 mins
Great Expectations,Charles Dickens,18 hrs and 32 mins
A Vicarage Christmas,Kate Hewitt,4 hrs and 38 mins
Drums of Autumn,Diana Gabaldon,44 hrs and 50 mins
Bite Me,Shelly Laurenston,11 hrs and 42 mins
Shelter in Place,Nora Roberts,15 hrs and 22 mins
The Traitor Queen,Danielle L. Jensen,10 hrs and 13 mins
The Pearl Sister,Lucinda Riley,20 hrs and 37 mins
Gifted Thief,Helen Harper,8 hrs and 17 mins
When You Least Expect It,Haley Cass,8 hrs and 7 mins
Crave,Tracy Wolff,14 hrs and 56 mins
Total Exposure,JA Huss,8 hrs and 22 mins
Oui ou non,Vi Keeland,10 hrs and 32 mins
Heartsong Cottage,Emily March,8 hrs and 41 mins
Persuasion,Jane Austen,8 hrs and 13 mins
The Twelve Dates of Christmas,Jenny Bayliss,10 hrs and 24 mins
Fake It Till You Make It,Anne Harper,8 hrs and 31 mins
The Best of Us,Robyn Carr,8 hrs and 36 mins
You Shouldn’t Have Come Here,Jeneva Rose,8 hrs and 1 min
Hot Blooded,Lisa Jackson,15 hrs and 34 mins
Santa Cruise,Fern Michaels,9 hrs and 16 mins
Santa Cruise,Fern Michaels,9 hrs and 16 mins
In to Her,JA Huss,7 hrs and 44 mins
Fix,Molly McAdams,10 hrs and 50 mins
The Alpha,Kristin Coley,6 hrs and 40 mins
Best Friends Don't Kiss,Max Monroe,8 hrs and 51 mins
Informed Risk,Robyn Carr,8 hrs and 10 mins
Baseball Mom (French Edition),Marilou Addison,7 hrs and 8 mins
The Christmas Pawdcast,Emily March,2 hrs and 33 mins
Pretty Thing,JA Huss,6 hrs and 5 mins
Gideon the Ninth,Tamsyn Muir,16 hrs and 50 mins
Dark Horse,Michelle Diener,13 hrs and 56 mins
The Most Dangerous Duke in London,Madeline Hunter,9 hrs and 18 mins
An Ivy Hill Christmas,Julie Klassen,7 hrs and 35 mins
The Arrangement,Mary Balogh,11 hrs and 16 mins
Cupcakes for Christmas,Kate Hewitt,4 hrs and 55 mins
Own My Soul,Jade West,5 hrs and 50 mins
The Hook Up,Kristen Callihan,12 hrs and 37 mins
