Title,Author,Length
Fated Throne,Caroline Peckham,26 hrs and 5 mins
Death and Relaxation [Dramatized Adaptation],Devon Monk,6 hrs and 45 mins
On Mystic Lake,Kristin Hannah,10 hrs and 19 mins
99 Percent Mine,Sally Thorne,11 hrs and 23 mins
A Royal Christmas Princess,Scarlet Wilson,5 hrs and 13 mins
Storm Cursed,Patricia Briggs,10 hrs and 15 mins
Trick Play,Eden Finley,8 hrs and 8 mins
A Fire in the Flesh,Jennifer L. Armentrout,24 hrs and 3 mins
Saving the Werewolves,Kestra Pingree,8 hrs and 52 mins
The Understatement of the Year,Sarina Bowen,8 hrs and 50 mins
Zodiac Academy,Caroline Peckham,16 hrs and 27 mins
Against All Odds,Irene Hannon,9 hrs and 34 mins
Against All Odds,Irene Hannon,9 hrs and 34 mins
Seducing the Innocent,Shayla Black,1 hr and 18 mins
Mafia Boss,Khardine Gray,6 hrs and 28 mins
Gypsy Origins,Kristy Cunning,9 hrs and 7 mins
Lady of Ashes,Melissa Roehrich,24 hrs and 25 mins
All About Love,Stephanie Laurens,14 hrs and 1 min
The Paid Companion,Amanda Quick,11 hrs and 48 mins
Vendetta in Death,J. D. Robb,12 hrs and 42 mins
Tempt Me: A First Class Romance Collection,Jessica Hawkins,48 hrs and 45 mins
Archangel's Blade,Nalini Singh,11 hrs and 29 mins
Taming Chaos,Anna Carven,7 hrs and 10 mins
The Vampire's Mail Order Bride,Kristen Painter,8 hrs and 47 mins
The Highlander's Stolen Bride,Eliza Knight,8 hrs and 26 mins
Awakened and Betrayed,Ivy Asher,12 hrs and 5 mins
Blue Smoke,Nora Roberts,15 hrs and 53 mins
After Ever Happy,Anna Todd,15 hrs and 22 mins
An Echo in the Bone,Diana Gabaldon,45 hrs and 59 mins
Only a Kiss,Mary Balogh,11 hrs and 18 mins
Slightly Wicked,Mary Balogh,11 hrs and 28 mins
True Betrayals,Nora Roberts,14 hrs and 24 mins
Captured,Erica Stevens,7 hrs and 23 mins
Captured,Erica Stevens,7 hrs and 23 mins
The Truth Seeker,Dee Henderson,10 hrs and 25 mins
The Scarlet Thread,Francine Rivers,12 hrs and 58 mins
Sex - Explicit Erotic Short Stories Box Set,Lili Blakely,46 hrs and 19 mins
Big Bad Beast,Shelly Laurenston,9 hrs and 21 mins
A Little Bit of Spice,Georgia Beers,8 hrs and 6 mins
Le dévouement,Laurie Delarosbil,11 hrs and 20 mins
Dragon Prince,Melanie Rawn,21 hrs and 55 mins
Longing for Her Wolves,Tara West,8 hrs and 35 mins
Slightly Tempted,Mary Balogh,11 hrs and 29 mins
Kiss Me Crazy,Vanessa Vale,3 hrs and 25 mins
Maybe Someday,Colleen Hoover,10 hrs and 40 mins
Inconvenient Wife,Natasha Boyd,7 hrs and 25 mins
The Blood Witch,Chandelle LaVaun,12 hrs and 33 mins
The Duchess,Danielle Steel,10 hrs and 4 mins
Archangel's War,Nalini Singh,15 hrs and 39 mins
It Happened One Christmas,Chantel Guertin,9 hrs and 8 mins
Healing a Highlander's Heart,Keira Montclair,8 hrs and 10 mins
Hopeless,Colleen Hoover,12 hrs and 34 mins
Cerberus MC Box Set 7,Marie James,20 hrs and 2 mins
